uuid,fid2,land_type2,issue_year2
13754af1-13e0-4bc8-b7f7-58b51d15f14b,43775,200,2022
a99b8c92-994b-4c42-a952-918d2a052917,7462,200,2022
98bf8048-7f0d-4055-8e98-2788f04238b6,43708,100,2022
fb425a9d-0c9a-4b39-9d67-8a1a1c765bd6,44338,100,2022
4c817483-eacb-419a-8385-47ce01a7b3e5,8508,100,2022
3095239a-5196-43c5-95e0-74045db64cb0,8223,100,2022
e74de65c-bbae-43ac-b1f0-ce3ed3113a9a,44345,100,2022
68250181-b2ce-43ab-9e6d-9dae3f720c2c,8282,100,2022
8b62e507-c22f-4fd7-baac-77ee53cee591,7679,200,2022
f7734a4a-9e2a-40f1-aae5-56186e2969e7,7368,100,2022
e7f13a0d-0080-4ff1-8497-8a7964720983,43818,100,2022
756eb03a-061d-4e2a-a296-ccd202fdd97c,8044,100,2022
8c429b77-5aee-4029-8dd8-2757defd4773,43553,100,2022
874ddab5-4d9b-41c4-8e69-a5addcc4777d,44075,200,2022
32134cb5-a496-418f-9726-bafa94fdc9ae,7706,200,2022
b1baa535-2b66-469f-aed2-738e72dabce1,8785,200,2022
bf0ae58d-b095-482f-8f1e-63f2bc0fd2a7,8598,200,2022
5e898eea-0561-4ccf-834e-fffe136be93e,7843,200,2022
f41321e3-9dfe-4f12-a9c9-650838f294d7,44138,200,2022
0bec8b20-f0e9-4c58-b906-af51504c09ea,44293,100,2022
96bfa8b1-6666-420c-b348-b03e6715b0e6,44148,100,2022
d00b892a-15ac-4e29-97da-52f5d635dcab,44220,100,2022
8250bc0d-bd8f-42fe-88ea-b2eb0f8fbcca,44354,100,2022
8b4d3ae2-1f36-4baa-b506-f63258ca8c42,44234,100,2022
8cc7a011-28f9-40d3-b6f9-10bd210401e0,44137,100,2022
73bbf1fd-306b-4807-bd79-b16ec166cb06,43696,100,2022
529b3b6a-f8d2-4d4e-93d1-c0afe4be7eef,43885,100,2022
8667d46f-b43e-4d78-be7e-a34e6e93346f,44328,100,2022
c9d4fd02-ed36-4afa-8873-769282b1d539,44215,100,2022
2d36605e-6031-4460-aab1-697e47c2f613,44460,100,2022
2c73e9db-17c5-48fe-b077-40821e7f45cc,7414,100,2022
a3e0cb41-5add-4065-b7c7-2b71f9267cf5,7309,100,2022
51af710d-65d7-4140-99ef-46e62b188c80,44539,100,2022
5c7ba4b7-50ad-41ab-8451-585f2808ae14,44188,100,2022
e98c4e3d-2ef3-4960-b7f5-449dde4adfaf,8221,200,2022
da7c0165-da45-44e1-8108-c4a75d37df1e,43702,100,2022
b97cb440-60ec-428a-8c90-96601dea2eac,44461,200,2022
78eb4c53-bb5a-447d-bfaa-c42ee0034792,8920,200,2022
c09aadae-2824-4150-a709-fdafedca8277,43651,100,2022
fc5680d7-e737-49ba-afef-4ae27b789d9f,32498,100,2022
297c50eb-fa39-4b1a-82a4-02b6a780e625,8033,200,2022
9b2d8b8e-c528-498b-a988-cce0aa74ae09,30269,100,2022
7d72b9f0-aa21-4007-8f93-ce2e6debfad0,34710,100,2022
f12c240e-27e9-4778-82aa-dcf38d712ab0,34513,100,2022
e57a1fc1-4e65-4f1b-bd3a-10de2efff14e,30235,100,2022
4c2ff172-0f61-4768-a370-6068b8aebddf,34442,100,2022
8522abf8-5ae7-4895-a303-b7439cf3c833,34608,100,2022
bb7e89a2-887d-4897-b042-492f3eb698f5,30134,100,2022
5fb283f4-ca6a-44ef-a654-a20590a1ae9e,34712,100,2022
6c1b2da7-9183-4cb0-be71-fb8702ba2f9b,33403,200,2022
cc0a1f50-fdb7-4cd8-b5bf-147f5d81f8c1,32415,200,2022
00693ae6-9089-417c-9435-091dd99fd059,34022,200,2022
fccbf9f8-2067-4125-8a43-0e3441f278ed,33634,200,2022
a3d7a4d7-e474-46fe-a3ca-fadcd54e4b14,34788,100,2022
1c56650b-9153-40a5-b1be-7b10df0241e6,34823,100,2022
1d3a2f49-5953-4d92-bbd2-06b483847c91,34591,100,2022
76d668af-2cca-4cae-bbb6-8c819bd1dc10,8755,100,2022
1f515a64-ffa4-4fff-998a-e3e917209e59,33880,200,2022
aaa7d964-0abd-4903-8977-7f2f9b42e4a3,30163,100,2022
11ff6a4f-d876-4ae4-b59a-37ed659aee34,11452,100,2022
22ec9536-5375-47b4-be5d-30af85e6b9b8,33787,100,2022
819d0022-320d-4429-95b2-b65b786b7cbe,32630,100,2022
a5e46937-1763-4830-be9b-f6cc5b0462dc,33047,100,2022
2a46999e-1e1a-4919-b8bf-66e9a3d0d694,8693,100,2022
00aab179-9168-42e2-aa0c-2099d07504b4,7658,200,2022
77d21320-1d06-4258-ab2c-31a7660e8d03,44541,200,2022
1d3e0975-0ea9-478f-965d-f1a6675d47cd,34438,100,2022
d4d3348e-f2fe-4d3a-9dfc-b07484e1b836,34447,200,2022
3e79ad20-6caa-489b-a4a3-758270fac8c0,8048,200,2022
e4e84a35-aae1-4ecb-9e26-acdd7c573fa1,34470,200,2022
7a0522d2-e95b-41e9-85ea-2065ecdf8119,44281,200,2022
188c431d-509d-4d08-8573-9eb84968c4ad,8951,200,2022
19a0c8da-220f-4421-8a89-a2566118249a,40500,200,2022
fc9d49d6-cb4e-4d48-bf9c-b7aaffd07558,34046,200,2022
0745345f-c7b7-4cde-ac79-fb517209c542,30128,200,2022
b78e85fe-6303-4195-b5b1-eebfdb3162fb,34868,100,2022
eea1f322-f65c-48e1-bf88-4dc9c61a73ba,34673,200,2022
717b7bb7-3f8c-46ad-82ee-b391e2761d82,7991,200,2022
3615093a-f15e-4393-a07a-b1b5ff89a07d,34773,100,2022
615ce974-e125-40ef-a55b-ac594a4d1755,34348,100,2022
c3f290d4-111d-4dc9-9ae8-78299676b71c,34561,200,2022
a444a528-e23e-42a3-ab89-11159183c8c4,34241,100,2022
df09b585-ae7e-4c62-bf41-c651dc82492a,34483,100,2022
b862c98b-1147-40e1-9be7-2c6f5b172a03,34738,200,2022
374d057f-cd6a-462f-a673-90fe30eeb978,34306,100,2022
4e96b31a-bb41-40ca-9339-1322403f31db,34520,100,2022
5087c499-a0ad-4324-b4f8-03c9ed11a820,34510,100,2022
5a420a1b-9b03-49ff-85bc-dc581d6e8716,30161,100,2022
67f5ff98-6532-4efa-b176-696e961bb35b,11528,100,2022
5ee2d972-09bc-423c-afae-6666ea85431d,34701,100,2022
5c46dbab-1347-4ad8-86c3-00f6aeba563f,34854,100,2022
8190539f-b682-4a0c-8c32-bafe0ac3743e,34680,100,2022
8a99d7f6-f2e8-46f7-82db-299f46aa6897,34875,200,2022
30077c05-d8aa-462b-b0a2-0e3e6d855495,34258,100,2022
e8137362-f47d-4c2b-b0f1-5d3ce0783781,30025,100,2022
6c39b1c8-c4f2-4f6f-96f5-6edf7257550b,34669,100,2022
c47d668d-c90f-4cd6-b64d-abab2ac0b90f,34604,200,2022
315393b2-8024-4180-b8a8-d8d7941f8a0f,34824,100,2022
b7194468-8d62-461a-9227-6fc51c888aac,30257,100,2022
4cf77ffd-a10a-42a0-9e07-0092b8eb609a,34726,100,2022
445fc3b9-17fb-448c-9925-8eb65f2854ed,34547,100,2022
aea88c5c-088e-47f4-abf3-40ea1bd62723,34729,100,2022
89c4b00a-b181-4056-8695-0e5dd5c5defc,34845,100,2022
1ccdd255-4da1-4fc0-b5e5-767aaab9703f,30223,100,2022
2a0ede35-cdfb-45a0-ab13-4401a537ba2c,34559,100,2022
c706f41a-a6a5-4eda-958d-975f060f9834,34541,100,2022
b588e304-435c-4ae7-ba13-cc05478ef0b9,34611,200,2022
8fdf9c44-5baa-4e63-b7f0-e667054b1dd6,34525,100,2022
1df94927-22e2-427d-a7e3-77143dfad8a6,30129,100,2022
2ebb7b32-a18a-462b-9325-c378b74eadba,24348,200,2022
e0a3cc5c-5379-43ad-9dbb-277e3ac53b4e,34395,200,2022
ebcd5d63-4baf-450a-a0ae-e67ec58c45cb,34422,200,2022
6b7c98fc-e2b7-419f-92cf-91427594f15a,34381,100,2022
8f4dfd4c-f903-4fe5-bd9a-97cf77b80082,34535,100,2022
d989ec1d-54a2-424b-a77b-38a1226b4747,34428,100,2022
c77ca96e-93a8-4de5-962f-4f79609c60e8,30162,100,2022
bfa57374-fe19-4758-be3f-3c059da3a4c4,34814,200,2022
2109d2c0-0b2b-4a5c-a866-d5cf4ce44b58,34188,100,2022
f663e08f-4a73-4acc-b98c-58949501ce7c,34165,100,2022
4d4990f1-ae75-48ba-b03d-1fce4dcc86f7,34357,100,2022
eb0cf78c-244c-45db-9756-b39184575492,34307,100,2022
73a3e3da-2f31-4937-a5e0-93cca6e7c4d0,30270,100,2022
f16c8bf4-943c-4227-8fe5-28d49b15a2e8,34565,100,2022
ef395df8-2e3d-451e-88a2-adf39daa623c,34667,100,2022
694336b1-7906-4ae3-863f-1618aefd0e92,30056,100,2022
116823ee-25c1-4dfc-8aad-5bc32c7624a6,34821,200,2022
59923d3b-0a3c-4387-abfb-a820f58f39e8,34263,200,2022
1a665470-6c0c-40c6-a480-51f5c1328c81,30072,100,2022
2ba88c8c-2b80-49c0-bbfb-1a6721229027,34833,200,2022
d0571a76-65bc-41b5-b867-d59d8a4d5a9e,34247,100,2022
0030b9f4-a100-445b-8e5d-c6525b0ba046,34684,100,2022
48f7027b-e53a-4ae6-a8b5-84fa82e22838,11521,100,2022
